Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,30,0,12000.0,12095.522403333236,7894.979599997896,17494.308199999068,14287.0,0.08859896665182267,0.0,12000,13000,13000,14000,16000,17000,17000,17000,17000,17000,17000
POST,auth:login_submit,30,0,6600.0,8037.445320000188,1088.458999998693,12672.219299998687,0.0,0.08859896665182267,0.0,7400,10000,11000,11000,12000,12000,13000,13000,13000,13000,13000
GET,auth:logout,28,0,32000.0,32334.36706071396,12750.885299999936,38562.19869999768,2837.0,0.08269236887503449,0.0,33000,33000,37000,38000,38000,39000,39000,39000,39000,39000,39000
GET,core:agente_api_pool_disponible,44,0,1200.0,5541.813243181754,206.3759000011487,15019.701499997609,31.0,0.1299451510893399,0.0,5500,9100,10000,11000,13000,13000,15000,15000,15000,15000,15000
GET,core:agente_api_programas,51,0,1100.0,4817.968845097865,171.57489999954123,14971.169500000542,604.0,0.15061824330809853,0.0,1100,8800,9600,10000,12000,13000,14000,15000,15000,15000,15000
GET,core:agente_generar_lote,52,0,1400.0,4650.569842307749,310.92569999964326,15147.489900002256,11869.0,0.1535715421964926,0.0,1500,8400,9500,9700,11000,12000,13000,15000,15000,15000,15000
GET,core:agente_home,53,0,1800.0,5468.495041509086,276.84770000269054,14873.623100000259,13149.0,0.1565248410848867,0.0,1800,9600,10000,11000,13000,14000,15000,15000,15000,15000,15000
GET,core:api_conteo_estudiantes,36,0,760.0,4119.081686110803,190.03480000174022,14546.651499997097,155.0,0.10631875998218719,0.0,1000,1900,9000,9800,13000,14000,15000,15000,15000,15000,15000
GET,core:api_focalizaciones_existentes,84,0,1400.0,5370.352747618894,216.39050000158022,14641.953099999228,302.0,0.24807710662510346,0.0,1700,9000,10000,11000,13000,13000,14000,15000,15000,15000,15000
GET,core:api_focalizaciones_programa,82,0,1200.0,4604.794741463305,208.39279999927385,13909.50630000225,26.0,0.24217050884831529,0.0,1200,8500,9500,10000,11000,12000,13000,14000,14000,14000,14000
GET,core:api_sedes_completas,80,0,890.0,3591.49543499998,203.26640000348561,13689.457200001925,3112.0,0.2362639110715271,0.0,900,1500,8700,9100,10000,13000,13000,14000,14000,14000,14000
GET,core:contabilidad_api_dashboard_unificado,69,0,1800.0,4831.198118840763,331.0470000033092,13210.181700000248,8763.0,0.20377762329919213,0.0,1800,8500,9500,9900,12000,13000,13000,13000,13000,13000,13000
GET,core:contabilidad_api_registros,70,0,1000.0,5236.64035714282,265.45249999981024,15044.44180000064,4454.0,0.2067309221875862,0.0,1000,9800,11000,11000,13000,14000,15000,15000,15000,15000,15000
GET,core:contabilidad_home,78,0,7300.0,6307.328360256294,208.08490000126767,14598.265399999946,8905.0,0.23035731329473894,0.0,7400,10000,11000,12000,13000,13000,14000,15000,15000,15000,15000
GET,core:contabilidad_mis_registros,75,0,1700.0,4488.5523226666555,189.05349999840837,12968.735799997376,12437.0,0.22149741662955666,0.0,1700,8100,9600,10000,11000,12000,13000,13000,13000,13000,13000
GET,core:dashboard,100,0,1500.0,5379.864740000522,168.8352000019222,14594.90310000183,9944.0,0.29532988883940886,0.0,1600,9200,10000,10000,13000,14000,14000,15000,15000,15000,15000
GET,core:facturacion_home,76,0,8200.0,6244.822647368412,185.664500000712,15080.014499999379,9028.0,0.22445071551795073,0.0,8300,9600,11000,12000,13000,14000,15000,15000,15000,15000,15000
GET,core:facturacion_reportes,72,0,2200.0,4778.630036111179,263.9080999979342,13861.433699999907,21126.0,0.21263751996437438,0.0,2200,8300,9000,9700,12000,13000,14000,14000,14000,14000,14000
GET,ctx:agente_programas,30,0,7200.0,8139.325483333596,456.69290000296314,18055.3871000011,604.0,0.08859896665182267,0.0,7900,11000,12000,12000,15000,16000,18000,18000,18000,18000,18000
GET,ctx:focalizaciones,180,0,1100.0,4676.465426110999,173.43329999857815,17865.25299999994,22.666666666666668,0.531593799910936,0.0,1100,7400,9600,11000,13000,13000,15000,16000,18000,18000,18000
GET,ctx:modalidad_pool_probe,30,0,960.0,3555.615650000012,226.93449999860604,12874.042200000986,31.0,0.08859896665182267,0.0,1000,1300,8700,8800,9400,9500,13000,13000,13000,13000,13000
GET,ctx:sedes_completas,180,0,980.0,3971.1676327776845,210.5429000002914,14677.232899997762,543.6666666666666,0.531593799910936,0.0,1000,3700,8900,9500,11000,12000,13000,15000,15000,15000,15000
,Aggregated,1530,0,1700.0,5612.734523660104,168.8352000019222,38562.19869999768,5230.53660130719,4.518547299242956,0.0,1700,8800,10000,11000,13000,14000,17000,32000,39000,39000,39000
