Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,auth:login_page,5,0,2700.0,3410.097539999697,2652.047699997638,6407.499100001587,14287.0,0.027871074950618878,0.0,2700,2700,2700,6400,6400,6400,6400,6400,6400,6400,6400
POST,auth:login_submit,5,0,1600.0,1741.7471400003706,921.5686000025016,3142.8479999995034,0.0,0.027871074950618878,0.0,1600,1900,1900,3100,3100,3100,3100,3100,3100,3100,3100
GET,auth:logout,5,0,482.4090000001888,539.2899400001625,482.4090000001888,762.8937999979826,2837.0,0.027871074950618878,0.0,480,480,480,760,760,760,760,760,760,760,760
GET,core:agente_api_pool_disponible,37,0,290.0,409.598467567628,165.63280000264058,2764.136800000415,31.0,0.2062459546345797,0.0,290,310,350,410,650,1200,2800,2800,2800,2800,2800
GET,core:agente_api_programas,31,0,190.0,362.4620225806035,170.275299999048,4006.9844999998168,604.0,0.17280066469383704,0.0,190,270,280,300,330,550,4000,4000,4000,4000,4000
GET,core:agente_generar_lote,31,0,310.0,515.3149064516906,172.75430000154302,4019.4022999967274,11869.0,0.17280066469383704,0.0,310,340,350,360,580,3200,4000,4000,4000,4000,4000
GET,core:agente_home,31,0,330.0,480.4258935485362,230.45039999851724,3024.4201999994402,13149.0,0.17280066469383704,0.0,330,350,360,370,600,2200,3000,3000,3000,3000,3000
GET,core:api_conteo_estudiantes,15,0,290.0,919.3911333337988,182.28559999988647,4242.430400001467,155.0,0.08361322485185664,0.0,290,360,460,2700,3500,4200,4200,4200,4200,4200,4200
GET,core:api_focalizaciones_existentes,46,0,280.0,414.644347826217,183.64440000004834,2985.305399997742,302.0,0.25641388954569366,0.0,290,310,350,380,500,1900,3000,3000,3000,3000,3000
GET,core:api_focalizaciones_programa,46,0,260.0,278.7540782604913,177.32250000335625,706.069200001366,26.0,0.25641388954569366,0.0,260,300,320,320,430,530,710,710,710,710,710
GET,core:api_sedes_completas,46,0,220.0,272.6980739130933,184.01879999873927,705.8331000007456,3112.0,0.25641388954569366,0.0,220,280,300,310,420,510,710,710,710,710,710
GET,core:contabilidad_api_dashboard_unificado,63,0,460.0,619.6637317459843,333.88969999941764,4395.311200001743,8763.0,0.35117554437779785,0.0,460,490,540,580,720,1200,3200,4400,4400,4400,4400
GET,core:contabilidad_api_registros,63,0,380.0,663.3290301586616,249.9190999988059,3468.1549000015366,4454.0,0.35117554437779785,0.0,380,420,460,590,1200,3000,3400,3500,3500,3500,3500
GET,core:contabilidad_home,63,0,270.0,354.6481650793419,171.605699997599,3229.28630000024,8905.0,0.35117554437779785,0.0,270,300,310,320,370,480,3000,3200,3200,3200,3200
GET,core:contabilidad_mis_registros,62,0,230.0,324.8153532255063,167.50690000117174,3864.7416999992856,12437.0,0.34560132938767407,0.0,240,330,340,360,390,460,490,3900,3900,3900,3900
GET,core:dashboard,41,0,300.0,405.0963682931047,180.18320000192034,2862.239000001864,9944.0,0.2285428145950748,0.0,300,360,390,420,580,910,2900,2900,2900,2900,2900
GET,core:facturacion_home,36,0,290.0,472.21285277747586,182.75910000011208,3812.683999996807,9028.0,0.20067173964445592,0.0,290,310,330,340,920,1900,3800,3800,3800,3800,3800
GET,core:facturacion_reportes,36,0,330.0,561.3292638888904,234.4098000030499,4003.017600000021,21126.0,0.20067173964445592,0.0,360,410,430,480,630,3600,4000,4000,4000,4000,4000
GET,ctx:agente_programas,5,0,350.0,504.4900599998073,190.82720000005793,1066.734699998051,604.0,0.027871074950618878,0.0,350,670,670,1100,1100,1100,1100,1100,1100,1100,1100
GET,ctx:focalizaciones,30,0,200.0,414.42163333316176,169.45679999844288,3052.6657000009436,22.666666666666668,0.16722644970371328,0.0,230,270,280,280,360,3000,3100,3100,3100,3100,3100
GET,ctx:modalidad_pool_probe,5,0,230.0,244.0139000005729,170.94580000048154,346.19609999936074,31.0,0.027871074950618878,0.0,230,300,300,350,350,350,350,350,350,350,350
GET,ctx:sedes_completas,30,0,200.0,423.8197566668532,179.7538999999233,3179.6825000019453,543.6666666666666,0.16722644970371328,0.0,200,270,290,310,380,3100,3200,3200,3200,3200,3200
,Aggregated,732,0,300.0,478.09094125681554,165.63280000264058,6407.499100001587,6447.823770491803,4.080325372770604,0.0,300,350,390,430,630,2000,3200,3800,6400,6400,6400
